,type_kt,type_rt,type_ok,elevator,energy_class,neighborhood,price,price_per_square_meter,number_of_rooms,rooms,square_meters,year,condition,floor_num,top_floor,bottom_floor,floor_frac,lat,lng
0,1,0,0,1,G,Kamppi,191050,10055,1, h,19.0,1929,2,5.0,True,False,1.0,60.16745770000001,24.9310748
1,1,0,0,0,,Munkkivuori,143000,5789,1,"h, kk, kh",24.7,1957,1,3.0,False,False,0.75,60.2067036,24.8712125
2,1,0,0,1,E2007,Harju,167000,6680,1,h+kk+alk+wc,25.0,1940,1,6.0,True,False,1.0,60.1882578,24.955949
3,1,0,0,0,F,Ruskeasuo,157000,6181,1," h, kk",25.4,1951,1,1.0,False,False,0.25,60.2027472,24.9054937
4,1,0,0,0,,Puotila,133000,4926,1,"h, kk, alk, vh...",27.0,1961,2,2.0,False,False,0.6666666666666666,60.2121725,25.0961086
5,1,0,0,1,E2007,Haaga,181500,6259,1,h+kk+parv,29.0,1963,2,2.0,False,False,0.5,60.2218635,24.8961944
6,1,0,0,0,G2013,Käpylä,186000,6414,1,"h, k",29.0,1943,2,1.0,False,False,0.3333333333333333,60.21416300000001,24.950781
7,1,0,0,1,,Kallio,189000,6517,1,h+kk+kph,29.0,1962,1,3.0,False,False,0.42857142857142855,60.18428689999999,24.9492728
8,1,0,0,0,D2007,Mellunmäki,98000,3267,1,"h, kk, kph",30.0,1968,1,3.0,True,False,1.0,60.2372171,25.1140828
9,1,0,0,1,E,Puotinharju,138000,4452,1,h+kk+kph,31.0,1963,2,6.0,False,False,0.8571428571428571,60.2128881,25.0778804
10,1,0,0,1,C,Herttoniemi,203190,5805,1,h+kt+alk,35.0,2019,2,1.0,False,False,0.14285714285714285,60.19473499999999,25.0326173
11,1,0,0,1,F,Ullanlinna,121722,3005,1,h ks wc,40.5,1929,1,1.0,False,False,0.14285714285714285,60.1584139,24.9490399
12,1,0,0,1,,Kallio,208000,9244,1,"h, avok, kph, ...",22.5,1912,2,3.0,False,False,0.5,60.18428689999999,24.9492728
13,1,0,0,1,F2013,Etu-Töölö,265000,8281,1,"h, avok, kph",32.0,1912,1,3.0,False,False,0.6,60.1738218,24.9185301
