|condition|elevator|energy_class|floor|housetype|neighborhood|price|price_per_square_meter|number_of_rooms|rooms|square_meters|year
0|hyvä|on|G|5/5|kt|Kamppi|191050|10055|1| h|19,00|1929
1|tyyd.|ei||3/4|kt|Munkkivuori|143000|5789|1|h, kk, kh|24,70|1957
2|tyyd.|on|E2007|6/6|kt|Harju|167000|6680|1|h+kk+alk+wc|25,00|1940
3|tyyd.|ei|F|1/4|kt|Ruskeasuo|157000|6181|1| h, kk|25,40|1951
4|hyvä|ei||2/3|kt|Puotila|133000|4926|1|h, kk, alk, vh...|27,00|1961
5|hyvä|on|E2007|2/4|kt|Haaga|181500|6259|1|h+kk+parv|29,00|1963
6|hyvä|ei|G2013|1/3|kt|Käpylä|186000|6414|1|h, k|29,00|1943
7|tyyd.|on||3/7|kt|Kallio|189000|6517|1|h+kk+kph|29,00|1962
8|tyyd.|ei|D2007|3/3|kt|Mellunmäki|98000|3267|1|h, kk, kph|30,00|1968
9|hyvä|on|E|6/7|kt|Puotinharju|138000|4452|1|h+kk+kph|31,00|1963
10|hyvä|on|C|1/7|kt|Herttoniemi|203190|5805|1|h+kt+alk|35,00|2019
11|tyyd.|on|F|1/7|kt|Ullanlinna|121722|3005|1|h ks wc|40,50|1929
12|hyvä|on||3/6|kt|Kallio|208000|9244|1|h, avok, kph, ...|22,50|1912
13|tyyd.|on|F2013|3/5|kt|Etu-Töölö|265000|8281|1|h, avok, kph|32,00|1912
14|hyvä|ei|E2007|3/3|kt|Oulunkylä|142000|4369|1|h, kk, las.par...|32,50|1979
15|tyyd.|ei|E2007|1/4|kt|Hermanni|190000|5507|1|h, k, kph, vh|34,50|1960
16|hyvä|ei|E|3/3|kt|Malmi|128000|3657|1|h+kk+kph+iso l...|35,00|1983
17|hyvä|ei|E2007|2/5|kt|Kamppi|317000|9057|1|h, avok, kph, ...|35,00|1927
18|huono|on|E|3/7|kt|Kallio|248000|5277|1|h+k+m.alk|47,00|1932
